id,track_name,artist_names,cluster,playlist_name
0Uv5Kp8sEnriJjkX4oLfNI,Paul - Skit,Paul Rosenberg,2,Chill Vibe
0UyljEbX9dqI1K0sqdv6B6,SLOW DANCING IN THE DARK,Joji,2,Chill Vibe
0VJYhKhrHgJ7fgjGaC2k07,The Explanation,XXXTENTACION,2,Chill Vibe
0VsGaRXR5WAzpu51unJTis,Best Part of Me (feat. YEBBA),"Ed Sheeran, Yebba",2,Chill Vibe
0WFryfbNKPXVtVQlz5dZ8H,hotline (edit),Billie Eilish,2,Chill Vibe
0XER3HPMx223xWaAgNKp4Y,My Mind & Me,Selena Gomez,2,Chill Vibe
0XOnMqLQDO89iAg7dWWwnG,pete davidson,Ariana Grande,2,Chill Vibe
0XPsOSYzDJZJArevQNm2AR,Speechless (Full),Naomi Scott,2,Chill Vibe
0XkmeG97T4mtYlWRJcrxec,Party Girl (Remix),"StaySolidRocky, Lil Uzi Vert",2,Chill Vibe
0YFqKxV9uNu6LUeYkLOKRS,On Time (with John Legend),"Metro Boomin, John Legend",2,Chill Vibe
0YevRlTDW9tyIwViCyke8Q,Anxiety - Intro,Juice WRLD,2,Chill Vibe
0YkUwXxnTkeJBvt5upeEtP,From Florida With Love,Drake,2,Chill Vibe
0YxKKO272sacGBJKjf6FnB,Saari Duniya Jalaa Denge,"Jaani, B Praak",2,Chill Vibe
0ZNU020wNYvgW84iljPkPP,mirrorball,Taylor Swift,2,Chill Vibe
0aPs3kmiqmt9QG7gWXdefA,No soy Eterno,"Bizarrap, Milo j",2,Chill Vibe
0bzbvANY6oETSJLc0wlVGY,Lover,Taylor Swift,2,Chill Vibe
0cGpKQ8RxxLOFqhktEURIj,wherever u r (ft. V of BTS),"UMI, V",2,Chill Vibe
0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",2,Chill Vibe
0dS2u2UFd88TIzDDaZDLvS,Here With Me,d4vd,2,Chill Vibe
0dyiHoYbYjYaOEXLpmzQZG,Supercut,Lorde,2,Chill Vibe
0e5UZadoZ5me957hKsxRYh,golden hour,JVKE,2,Chill Vibe
0ecC8p17cDNlxHXkuYqeR6,Surrender,Natalie Taylor,2,Chill Vibe
0fioLzGM8ngbD1w6fMmm45,I'm Not The Only One,Sam Smith,2,Chill Vibe
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,2,Chill Vibe
0hNduWmlWmEmuwEFcYvRu1,Sunset Lover,Petit Biscuit,2,Chill Vibe
0hluyTCTSua59xYuIRqpe5,Ovunque Sarai,Irama,2,Chill Vibe
0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,"MC Tairon, Mc Vitin Da Igrejinha, Dj Win",2,Chill Vibe
0jdny0dhgjUwoIp5GkqEaA,Praying,Kesha,2,Chill Vibe
0lLdorYw7lVrJydTINhWdI,It's Beginning to Look a Lot like Christmas,Michael Bublé,2,Chill Vibe
0lTurWECr2XL607eJAj1A3,I'll Be Home,Meghan Trainor,2,Chill Vibe
0lsRatBUs9HNIZAmoGABzk,Trampoline,SHAED,2,Chill Vibe
0m0Ew7RcwZaBS8psxgE00P,Derdim Olsun,Reynmen,2,Chill Vibe
0mel2N9Ws9r4yLQn5QE21Y,Too Good At Goodbyes,Sam Smith,2,Chill Vibe
0mfCH4nfpshBQR9ueZP5eP,Girls Need Love (with Drake) - Remix,"Summer Walker, Drake",2,Chill Vibe
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,2,Chill Vibe
0nAZGkBGKQCXyaoSJfRhC1,A Keeper,Drake,2,Chill Vibe
0oA9wBGDY4uyILLg4GymWP,Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,Chill Vibe
0oQc0F6KUE7QY7k5TU6bic,Chromatica II,Lady Gaga,2,Chill Vibe
0oaY19dUwZimIgzn3ZZLZO,2 Much,Justin Bieber,2,Chill Vibe
0oiCeOPwm4zhwfyIpAE37y,Love on the Weekend,John Mayer,2,Chill Vibe
0or0gNaKAXYYCsOrpvRzAu,Liability,Lorde,2,Chill Vibe
0psS4i5YooJrXfDnGvWRLi,Lo Vas A Olvidar (with ROSALÍA),"Billie Eilish, ROSALÍA",2,Chill Vibe
0qCPD6ilr9nXkI4KVZgcns,Abcdario,"Eden Muñoz, Junior H",2,Chill Vibe
0qXP5fMhxGzxALOkXYUxfP,Loverboy,A-Wall,2,Chill Vibe
0qxLQ6opocOGyFnlXqJ53x,Bipolar,"Mc Davi, Mc Pedrinho, Mc Don Juan, DJ 900",2,Chill Vibe
0rHToGels2lt8Y0mCYoF90,Deck The Hall,Nat King Cole,2,Chill Vibe
0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,Joji,2,Chill Vibe
0ri0Han4IRJhzvERHOZTMr,At My Worst,Pink Sweat$,2,Chill Vibe
0rt63HYAAIzUZo5O2D0uA6,Visiting Hours,Ed Sheeran,2,Chill Vibe
0sKEilrw1GrBlG6qsTCrP4,865,Morgan Wallen,2,Chill Vibe
0sSRLXxknVTQDStgU1NqpY,Hours In Silence,"Drake, 21 Savage",2,Chill Vibe
0sXvjZV7p4uvyPN4uQo3FH,Neon Gravestones,Twenty One Pilots,2,Chill Vibe
0sY6ZUTh4yoctD8VIXz339,champagne problems,Taylor Swift,2,Chill Vibe
0sfk352FO8bJUjWjIsyzSR,DONDE SE APRENDE A QUERER?,Mora,2,Chill Vibe
0t5cfOZxePTvuYXTywHzjH,Penhasco2,"Luísa Sonza, Demi Lovato",2,Chill Vibe
0tMSssfxAL2oV8Vri0mFHE,listen before i go,Billie Eilish,2,Chill Vibe
0tXPhc8LvM4dPvoRwI66XQ,I'll Be Home for Christmas,Michael Bublé,2,Chill Vibe
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"Billie Eilish, Khalid",2,Chill Vibe
0uRrG2jRR5tuifsYIJHEao,Sand In My Boots,Morgan Wallen,2,Chill Vibe
0udOCZp7yk0Ml92C0k8H8D,That's On Me,Mac Miller,2,Chill Vibe
0utlOiJy2weVl9WTkcEWHy,Neighbors,J. Cole,2,Chill Vibe
0v2LUO8oTHnkjQ8MmKuXyk,raindrops (an angel cried),Ariana Grande,2,Chill Vibe
0vVMlbdYx2080Oa9FndPZr,long story short,Taylor Swift,2,Chill Vibe
0veNpTQFqfmTX0rsJmO2rO,"The Man, The Myth, The Legend - Interlude",Juice WRLD,2,Chill Vibe
0vmANNClszGQZ0FISySK61,I Saw Mommy Kissing Santa Claus,The Jackson 5,2,Chill Vibe
0w1ZtnzQmtmuuoKxHT0pLL,Summer Games,Drake,2,Chill Vibe
0wavGRldH0AWyu2zvTz8zb,Sweet Nothing,Taylor Swift,2,Chill Vibe
0wfbD5rAksdXUzRvMfM3x5,The One,The Chainsmokers,2,Chill Vibe
0xPaZrF25ltzvz1a2Pm5DQ,All I Want for Christmas Is You,Michael Bublé,2,Chill Vibe
0xxZY5C9xxij3D1HkzbnfC,Monster Mash,"Bobby ""Boris"" Pickett, The Crypt-Kickers",2,Chill Vibe
0y1QJc3SJVPKJ1OvFmFqe6,Way down We Go,KALEO,2,Chill Vibe
0zlGnseLGzRIBA0TJcb3Bo,"Manike (From ""Thank God"")","Yohani, Jubin Nautiyal, Tanishk Bagchi, Rashmi Virag, Surya Ragunaathan",2,Chill Vibe
10IfXtjKQmOiON7tNAHv0y,Yours,JIN,2,Chill Vibe
10ImcQk9tihY1EKMDIbvXJ,To Be Loved,Adele,2,Chill Vibe
