id,track_name,artist_names,cluster,playlist_name
08WPvDEsHvTFuB9w8tC2OS,Now and Later,Sage The Gemini,1,Party Feel-Good Vibe
08XWh5c0BMyD1nKVxxl91z,Fountains (with Tems),"Drake, Tems",1,Party Feel-Good Vibe
08aYFNUTIOMGq93e2VSArQ,Que Le De,"Rauw Alejandro, Nicky Jam",1,Party Feel-Good Vibe
08bNPGLD8AhKpnnERrAc6G,FRIENDS,"Marshmello, Anne-Marie",1,Party Feel-Good Vibe
09CnYHiZ5jGT1wr1TXJ9Zt,Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",1,Party Feel-Good Vibe
09IStsImFySgyp0pIQdqAc,The Middle,"Zedd, Maren Morris, Grey",1,Party Feel-Good Vibe
09PGubKAMryhOWv1LHpCYz,"fuck, i'm lonely","Lauv, Anne-Marie",1,Party Feel-Good Vibe
09u787BYeYIGd2mFIJ505t,Cry Your Heart Out,Adele,1,Party Feel-Good Vibe
0A1hoCfMLkiAgvhWkkucJa,Body,Megan Thee Stallion,1,Party Feel-Good Vibe
0A37XY67wSdGqkGjtfW6aV,Fantasias - Remix,"Rauw Alejandro, Anuel AA, NATTI NATASHA, Farruko, Lunay",1,Party Feel-Good Vibe
0AGS6ZRgzobrazmCi6pYMe,Na Raba Toma Tapão,"Niack, Markim WF",1,Party Feel-Good Vibe
0ATmjiSoHDCHeeQ9FcvZOW,The Return,Logic,1,Party Feel-Good Vibe
0AUvWawuP0ibk4SQ3sIZjk,Daisy,Ashnikko,1,Party Feel-Good Vibe
0AcHbiMs86CCgprvc7E1gs,i Shyne,"Carnage, Lil Pump",1,Party Feel-Good Vibe
0ArVfVP8B5svkfj8clHNzB,Screw The World - Interlude,Drake,1,Party Feel-Good Vibe
0AtP8EkGPn6SwxKDaUuXec,Remember The Name (feat. Eminem & 50 Cent),"Ed Sheeran, Eminem, 50 Cent",1,Party Feel-Good Vibe
0B8B8cVRFIG1yznoQe7c9s,Setting Fires,"The Chainsmokers, XYLØ",1,Party Feel-Good Vibe
0Be7sopyKMv8Y8npsUkax2,Tacones Rojos,Sebastian Yatra,1,Party Feel-Good Vibe
0BnTBAGmr9FtYwkZrwKhwS,Just Us (feat. SZA),"DJ Khaled, SZA",1,Party Feel-Good Vibe
0Bv7O6fmZk3GrNQFYJaXPn,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA",1,Party Feel-Good Vibe
0CBQ0m3mufWH75LTYB3s6h,Let It Fly (feat. Travis Scott),"Lil Wayne, Travis Scott",1,Party Feel-Good Vibe
0CYTGMBYkwUxrj1MWDLrC5,CHORRITO PA LAS ANIMAS,Feid,1,Party Feel-Good Vibe
0CcQNd8CINkwQfe1RDtGV6,Believer,Imagine Dragons,1,Party Feel-Good Vibe
0Clb9aiXWa0dvVff5aN4VN,Think Before I Talk,Astrid S,1,Party Feel-Good Vibe
0CsR9Y9SnC6ZWmekmVqSHz,Naked,Doja Cat,1,Party Feel-Good Vibe
0CtZpaOhtzvLV3FfcsVpQo,"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Vishal Dadlani, Shekhar Ravjiani, Kumaar",1,Party Feel-Good Vibe
0D4GpOPInKiPxEfQMchu4p,Karaoke,"Boomdabash, Alessandra Amoroso",1,Party Feel-Good Vibe
0D5CXSUx8GOCHSY8KWgi9h,Yuck,Logic,1,Party Feel-Good Vibe
0D75ciM842cdUMKSMfAR9y,Baila Conmigo (with Rauw Alejandro),"Selena Gomez, Rauw Alejandro",1,Party Feel-Good Vibe
0DGTcMqvVR7fmBXgiG6jz4,Just A Cloud Away,Pharrell Williams,1,Party Feel-Good Vibe
0DMVrlMUn01M0IcpDbwgu7,Girl At Home (Taylor's Version),Taylor Swift,1,Party Feel-Good Vibe
0DWdj2oZMBFSzRsi2Cvfzf,TQG,"KAROL G, Shakira",1,Party Feel-Good Vibe
0DiDStADDVh3SvAsoJAFMk,Only Human,Jonas Brothers,1,Party Feel-Good Vibe
0Dq49j3dELbttQVUJbtn0c,Nervous,Shawn Mendes,1,Party Feel-Good Vibe
0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)","DJ Patrick Muniz, Dj Olliver, Mc Topre, Mc Rennan",1,Party Feel-Good Vibe
0E0DRHf5PfMeor0ZCwB3oT,Otro Atardecer,"Bad Bunny, The Marías",1,Party Feel-Good Vibe
0EDSU9JYeKABA14OcOuM7b,Ya Salame,"Luciano, Samra",1,Party Feel-Good Vibe
0EPxmvsG1BY5td4aTOkWBF,Deu Onda,MC G15,1,Party Feel-Good Vibe
0ERbK7qVqveCaBWIiYCrl3,Bella y Sensual,"Romeo Santos, Daddy Yankee, Nicky Jam",1,Party Feel-Good Vibe
0EhuGnOS6fTc5l5UNtDEH2,POLARIS - Remix,"SAIKO, Quevedo, Feid, Mora",1,Party Feel-Good Vibe
0EtuSDTRJYUwlPf4y6coIz,999 (with Camilo),"Selena Gomez, Camilo",1,Party Feel-Good Vibe
0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),"Kodak Black, Offset, Travis Scott",1,Party Feel-Good Vibe
0FktnzDqjClqU6iqOZVEs2,BYE ME FUI,Bad Bunny,1,Party Feel-Good Vibe
0Fl4eWzVaMUOdXcOrj6F1q,VIRGO'S GROOVE,Beyoncé,1,Party Feel-Good Vibe
0Fpen1PTuEnCmOJtUU9Iud,New Patek,Lil Uzi Vert,1,Party Feel-Good Vibe
0FqVtQxRD3HsPltldG5v5M,Aquelas Coisas,João Gomes,1,Party Feel-Good Vibe
0G2zPzWqVjR68iNPmx2TBe,Volando - Remix,"Mora, Bad Bunny, Sech",1,Party Feel-Good Vibe
0GJwUAlBMJTbY4VE7iE761,UNA NOCHE EN MEDELLÍN - REMIX,"KAROL G, Cris Mj, Ryan Castro",1,Party Feel-Good Vibe
0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,ABBA,1,Party Feel-Good Vibe
0GsZZWhBMIQXAmPYPJ3PRQ,INSUPERABILE,Rkomi,1,Party Feel-Good Vibe
0GzuHFG4Ql6DoyxFRnIk3F,Hawái - Remix,"Maluma, The Weeknd",1,Party Feel-Good Vibe
0HD8mbiPjp3o94X3EaZp0o,exes,Tate McRae,1,Party Feel-Good Vibe
0HVv5bEOiI9a0QfgcASXpX,Nice For What,Drake,1,Party Feel-Good Vibe
0HqZX76SFLDz2aW8aiqi7G,Bones,Imagine Dragons,1,Party Feel-Good Vibe
0I20rLT2MJDhcF96AjbNYo,Stay,"Zedd, Alessia Cara",1,Party Feel-Good Vibe
0IGUXY4JbK18bu9oD4mPIm,TOMBOY,(G)I-DLE,1,Party Feel-Good Vibe
0IKeDy5bT9G0bA7ZixRT4A,Bebe Dame,"Fuerza Regida, Grupo Frontera",1,Party Feel-Good Vibe
0IhTEIjFaRt3B2NQYf9azQ,Thing for You (with Martin Solveig),"David Guetta, Martin Solveig",1,Party Feel-Good Vibe
0Iozrbed8spxoBnmtBMshO,WANDA,Quevedo,1,Party Feel-Good Vibe
0IqCoZ168iRc9LqfrYgpZy,KESI - Remix,"Camilo, Shawn Mendes",1,Party Feel-Good Vibe
0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,Tate McRae,1,Party Feel-Good Vibe
0J9g1MMJDhyvOb3NWckHMm,Chulo pt.2,"Bad Gyal, Tokischa, Young Miko",1,Party Feel-Good Vibe
0JAZWvvqttGFm4UMDsPQXC,Despeinada,"Ozuna, Camilo",1,Party Feel-Good Vibe
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,1,Party Feel-Good Vibe
0JYAsQJWIuaYUvZGF1qapT,RERUN (feat. Travis Scott),"Quavo, Travis Scott",1,Party Feel-Good Vibe
0JcNysfWVWaMS7R6vzGB2k,Robarte un Beso,"Carlos Vives, Sebastian Yatra",1,Party Feel-Good Vibe
0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,"MC Levin, DJ Nikolas Alves Exclusive, DJ Kaioken, DJ Gege",1,Party Feel-Good Vibe
0Jh6iWjna1wk5le0Ahn7No,La vie qu'on mène,Ninho,1,Party Feel-Good Vibe
0JmnkIqdlnUzPaf8sqBRs3,Moonlight,Kali Uchis,1,Party Feel-Good Vibe
0KBwGCY9RYD9t2zjeW4h48,Djomb - Bien ou quoi,Bosh,1,Party Feel-Good Vibe
0KCSJzsQVxkloxoT7dyrqV,The Rumbling (TV Size),SiM,1,Party Feel-Good Vibe
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,1,Party Feel-Good Vibe
0Kdj7nwaYQmvhxnqZaIQuW,Bezos I,Bo Burnham,1,Party Feel-Good Vibe
0KkIkfsLEJbrcIhYsCL7L5,China,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",1,Party Feel-Good Vibe
0KoiMHhqKLoL4xM54rcWYY,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B",1,Party Feel-Good Vibe
0L7loeTIg6akW84aEQZpCT,Light It Up (feat. Nyla & Fuse ODG) [Remix],"Major Lazer, Nyla, Fuse ODG",1,Party Feel-Good Vibe
0L87MffumRNWrY2SNUFcvs,Cocoon,Milky Chance,1,Party Feel-Good Vibe
0L8LOav65XwLjCLS11gNPD,Typa Girl,BLACKPINK,1,Party Feel-Good Vibe
0LEFmgIj8ABU7CelzGh5Bs,Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake),"Lil Yachty, DaBaby, Drake",1,Party Feel-Good Vibe
0LKErfBZ5FbBiLB4OcZRbL,El Clavo,Prince Royce,1,Party Feel-Good Vibe
0LMwmV37RCmBO2so0szAFs,Whatever,"Kygo, Ava Max",1,Party Feel-Good Vibe
0LQ1J0BCzA2qnAgp9MkkNE,MALA (feat. Anuel AA),"6ix9ine, Anuel AA",1,Party Feel-Good Vibe
0LThjFY2iTtNdd4wviwVV2,Permission to Dance,BTS,1,Party Feel-Good Vibe
0Lsis3LB0XAK6XlTHXaJk2,MALDITA POBREZA,Bad Bunny,1,Party Feel-Good Vibe
0Lw6aQcBFWTQ9m4MSwwwes,Homicide,"Logic, Eminem",1,Party Feel-Good Vibe
0MIcPSq9n2z5H8TAfEstri,Quiero Repetir,"Ozuna, J Balvin",1,Party Feel-Good Vibe
0MLu1cFYL4ikdRTdasCQT9,M' Manc (con Geolier & Sfera Ebbasta),"Shablo, Geolier, Sfera Ebbasta",1,Party Feel-Good Vibe
0MMyJUC3WNnFS1lit5pTjk,"jealousy, jealousy",Olivia Rodrigo,1,Party Feel-Good Vibe
0MWiSBKm8Avs8iDIxcertp,Kiss My (Uh Oh),"Anne-Marie, Little Mix",1,Party Feel-Good Vibe
0N8MGHEDAq29ip7RrlrTeN,Beach House,The Chainsmokers,1,Party Feel-Good Vibe
0N9C80kcgL0xXGduKnYKWi,Love Lost,"Mac Miller, The Temper Trap",1,Party Feel-Good Vibe
0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,"Xamã, Gustah, Neo Beats, Bagua Records",1,Party Feel-Good Vibe
0NO2zL0kw8sGGnaMvHKAZF,Marisola - Remix,"Cris Mj, Duki, Nicki Nicole, Standly, Stars Music Chile",1,Party Feel-Good Vibe
0NiXXAI876aGImAd6rTj8w,Mama,"Jonas Blue, William Singe",1,Party Feel-Good Vibe
0NwGC0v03ysCYINtg6ns58,Better Than Revenge (Taylor's Version),Taylor Swift,1,Party Feel-Good Vibe
0O3U5iwTbiXCREMkvotJuN,EL AMOR DE SU VIDA,"Grupo Frontera, Grupo Firme",1,Party Feel-Good Vibe
0OMt4Qyetdbw2eUEvKBdHH,Remind Me,Eminem,1,Party Feel-Good Vibe
0OTBOHjEaoqroFlfut1ZsH,"Royalty (feat. Ky-Mani Marley, Stefflon Don & Vybz Kartel)","XXXTENTACION, Ky-Mani Marley, Stefflon Don, Vybz Kartel",1,Party Feel-Good Vibe
0OVhQZkNe7lh0fQeH96EFW,Don't Get Too High,Bryson Tiller,1,Party Feel-Good Vibe
0OwX5aROoW1Iip8FV51Efg,Alarm,Anne-Marie,1,Party Feel-Good Vibe
0P6AWOA4LG1XOctzaVu5tt,The Weekend - Funk Wav Remix,"SZA, Calvin Harris, Funk Wav",1,Party Feel-Good Vibe
0PG9fbaaHFHfre2gUVo7AN,Please Me,"Cardi B, Bruno Mars",1,Party Feel-Good Vibe
0PQsrLxPbOBBwwmXCnGvcF,Diamonds (with Normani),"Megan Thee Stallion, Normani",1,Party Feel-Good Vibe
0PowxVSTY2uh1CPc8EPKyX,Project Dreams,"Marshmello, Roddy Ricch",1,Party Feel-Good Vibe
0Q2n5yzl2XRqYbV77tZNYp,GOODMORNINGTOKYO!,TOKYO’S REVENGE,1,Party Feel-Good Vibe
0Q5VnK2DYzRyfqQRJuUtvi,LOVE DIVE,IVE,1,Party Feel-Good Vibe
0QBzMgT7NIeoCYy3sJCof1,Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",1,Party Feel-Good Vibe
0QHEIqNKsMoOY5urbzN48u,Made You Look,Meghan Trainor,1,Party Feel-Good Vibe
0QRHOAeU8JRaVVn3UoZBih,REINA,"Mora, SAIKO",1,Party Feel-Good Vibe
0QS5rZpm5zN9wV9lJgjyUE,El Préstamo,Maluma,1,Party Feel-Good Vibe
0QV16pno66L6K3fn4W13b7,No Sleep Leak,Lil Uzi Vert,1,Party Feel-Good Vibe
0QglpM23kl9ldvVdoYNZwF,Mds,"Kawe, Mc Lele JP, Original Quality",1,Party Feel-Good Vibe
0R6NfOiLzLj4O5VbYSJAjf,La Diabla,Xavi,1,Party Feel-Good Vibe
0RDgqtvOHLwcI6yz9bjsZV,Perreo en La Luna,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",1,Party Feel-Good Vibe
0RTzJVkunbGwuRjXDFHnjf,Dreamer,Axwell /\ Ingrosso,1,Party Feel-Good Vibe
0RUTnY2B3s05fZuCHsNaUP,Alien,"Sabrina Carpenter, Jonas Blue",1,Party Feel-Good Vibe
0RYHqnmtNRfbYxP6Dn8Vse,masquerade,siouxxie sixxsta,1,Party Feel-Good Vibe
0RYXEibxMami3QuT8kn4Iz,Marmalade (feat. Lil Yachty),"Macklemore, Lil Yachty",1,Party Feel-Good Vibe
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",1,Party Feel-Good Vibe
0Rx0DJI556Ix5gBny6EWmn,Paradise,Bazzi,1,Party Feel-Good Vibe
0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),"Ariana Grande, Social House",1,Party Feel-Good Vibe
0S9ZVNTNRzLMgb96tmmG1u,Enchule,Rauw Alejandro,1,Party Feel-Good Vibe
0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",1,Party Feel-Good Vibe
0SaYeGhSXN0dDWstyNTQ56,Bella - Remix,"Wolfine, Maluma",1,Party Feel-Good Vibe
0Sfn2TYbpQtCGMBf6C0Y6T,PLAYA DEL INGLÉS,"Quevedo, Myke Towers",1,Party Feel-Good Vibe
0Snbzbd74RLfL0i4nn1vU5,Favorito,Camilo,1,Party Feel-Good Vibe
0SqqAgdovOE24BzxIClpjw,Yo Perreo Sola,Bad Bunny,1,Party Feel-Good Vibe
0Szp49tpFasIjX04Mcsydp,Tú Foto,Ozuna,1,Party Feel-Good Vibe
0T6RSXxFhW8dRTWHI604ld,One Minute (feat. Kanye West & Travis Barker),"XXXTENTACION, Kanye West, Travis Barker",1,Party Feel-Good Vibe
0TK2YIli7K1leLovkQiNik,Señorita,"Shawn Mendes, Camila Cabello",1,Party Feel-Good Vibe
0TyUOnU4H4GLqOcrH0auc8,Sharks,Imagine Dragons,1,Party Feel-Good Vibe
0U1W2LZVUX7qTm7dDpqxh6,When You're Gone,Shawn Mendes,1,Party Feel-Good Vibe
0U6bQIAh6MCGo1xjbIIx2S,Instagram,"Dimitri Vegas & Like Mike, David Guetta, Daddy Yankee, Afro Bros, NATTI NATASHA, Dimitri Vegas, Like Mike",1,Party Feel-Good Vibe
0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",1,Party Feel-Good Vibe
0U9dP3BUlAgq9KkJXOijBH,SKRR,"KALIM, Ufo361",1,Party Feel-Good Vibe
0UQwlF2pRkr1lMN6kNNUj3,La Boca,"Mau y Ricky, Camilo",1,Party Feel-Good Vibe
0UXlu64mDLvfzR8IXMz06J,Ya No Somos Ni Seremos,Christian Nodal,1,Party Feel-Good Vibe
0UbesRsX2TtiCeamOIVEkp,Ch y la Pizza,"Fuerza Regida, Natanael Cano",1,Party Feel-Good Vibe
0UnTaVkntyh3vqvLEvbpQx,In Your Eyes (with Doja Cat) - Remix,"The Weeknd, Doja Cat",1,Party Feel-Good Vibe
0UvZcEfpzVyx47QsRbjyBz,El Apagón,Bad Bunny,1,Party Feel-Good Vibe
0UwQTbq7ZtBJ7v530mpaxP,Stay Gold,BTS,1,Party Feel-Good Vibe
0V9cosR5jWa4fr2koARmhD,Summer Air,ItaloBrothers,1,Party Feel-Good Vibe
0VKkyBKCXyR99navhVRqcP,La player (Bandolera),Zion & Lennox,1,Party Feel-Good Vibe
0VTfHLWzaUUb2Lbw84xOdX,Walk Em Down (feat. Roddy Ricch),"NLE Choppa, Roddy Ricch",1,Party Feel-Good Vibe
0VWLId2RwPCno9s1cJm2Vy,Travesuras - Remix,"Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie",1,Party Feel-Good Vibe
0Vl4eICpXMjtiK0RhdaWov,Zu Ende,"Samra, ELIF",1,Party Feel-Good Vibe
0VtxQUpwnkeedz0QhhuOgA,GUMMO,6ix9ine,1,Party Feel-Good Vibe
0VuDtcT7H4CAljLZEH021x,Stop The Rain,Ed Sheeran,1,Party Feel-Good Vibe
0Vz146N2GxkVJw4kSGXrNi,You & Me (Coachella ver.),JENNIE,1,Party Feel-Good Vibe
0W6I02J9xcqK8MtSeosEXb,Get Into It (Yuh),Doja Cat,1,Party Feel-Good Vibe
0WCxpmafw3tOlUmiilGbsy,LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H",1,Party Feel-Good Vibe
0WdR2AyLW1Drd3OUdwezM0,everytime,Ariana Grande,1,Party Feel-Good Vibe
0WoVfPjxsf9MTvPt9ptqeE,SLUT ME OUT,NLE Choppa,1,Party Feel-Good Vibe
0Ws8D3EWUDgY962Xftb0h5,"Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M.)","Calvin Harris, ScHoolboy Q, PARTYNEXTDOOR, DRAM, Funk Wav",1,Party Feel-Good Vibe
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),"Rema, Selena Gomez",1,Party Feel-Good Vibe
0Wv5wuenRLI3BcwgT3HPIP,A Different Way (with Lauv),"DJ Snake, Lauv",1,Party Feel-Good Vibe
0Xek5rqai2jcOWCYWJfVCF,Enemies (feat. DaBaby),"Post Malone, DaBaby",1,Party Feel-Good Vibe
0XfOi87h82i09rQjWYG0Bm,Instruction (feat. Demi Lovato & Stefflon Don),"Jax Jones, Demi Lovato, Stefflon Don",1,Party Feel-Good Vibe
0XinBYhf1X3kdvKQHOX971,Tú Me Dejaste De Querer,"C. Tangana, Niño de Elche, La Húngara",1,Party Feel-Good Vibe
0Y4hwUppbGc8aIBmiTz30A,Familiar,"Liam Payne, J Balvin",1,Party Feel-Good Vibe
0Y7di9ZCmB6Elad5WISaPc,Dedicate,Lil Wayne,1,Party Feel-Good Vibe
0YHUITU3w6ws1v8ehT264g,Shout Out to My Ex,Little Mix,1,Party Feel-Good Vibe
0YWUHZPJVg4iujddsJDwhM,My Only Wish (This Year),Britney Spears,1,Party Feel-Good Vibe
0YammaEkYSeo9vQYZ1OwS6,Say My Name,"David Guetta, Bebe Rexha, J Balvin",1,Party Feel-Good Vibe
0YeUVm23SAkUruwEx9LWnt,Savior,"Kendrick Lamar, Baby Keem, Sam Dew",1,Party Feel-Good Vibe
0YqTL3nSL36OFdHwHoqCag,MODO TURBO,"Luísa Sonza, Pabllo Vittar, Anitta",1,Party Feel-Good Vibe
0Z0kNthq0sS4lvGz9SSlBF,7 Summers,Morgan Wallen,1,Party Feel-Good Vibe
0Z9HQ8YvHqdeOjTwsR3cS7,Two High,Moon Taxi,1,Party Feel-Good Vibe
0ZExP2I5Ej92PsnG4G1jVG,Uh Huh,Julia Michaels,1,Party Feel-Good Vibe
0ZLuW8uOXdFNWcI40C0OC2,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne",1,Party Feel-Good Vibe
0ZiRSqlSsDlY0UyDYU9CTE,Unforgettable,Thomas Rhett,1,Party Feel-Good Vibe
0ZoHHROTzwIYeNAHRPedTY,Driving Home for Christmas,Chris Rea,1,Party Feel-Good Vibe
0Zp10WiPeEi6EUJZvWcNT9,Mad Love,Mabel,1,Party Feel-Good Vibe
